,Assembly accession,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality,orfs,pfam,ko,cog,cazymes,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
1758,GCA_008329825.1,GCA_008329825.1_ASM832982v1_genomic,f__Flavobacteriaceae (UID2817),99.65,1.34,33.33,92.95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium johnsoniae,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,1,1,5855069,5854969,0.002,1,5855069,1,5854969,1,5855069,1,5854969,5855069,5854969,1,100.0,0.33982,0.0,Medium,5046,8172,1826,3088,239,36.18707887435593,61.19698771304003,4.736424891002773,ASM832982v1,,,,,,Chromosome,FALCON v. 0.3.0,,PRJNA486986,SAMN09870173,,Microbe sample from Flavobacterium johnsoniae,,,,,2016,Genome sequences of Flavobacterium johnsoniae associated with cucumber leaves infected by the downy mildew pathogen Pseudoparanospora cubensis,2019-09-09T00:00:00Z,kchilds@plantbiology.msu.edu,,1.0,,,,,,,,,,,,,,,,,,,,,,,Kevin,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/329/825/GCA_008329825.1_ASM832982v1,,GCF_008329825.1,CP031763,,Flavobacterium johnsoniae strain FJ001,,Full,Complete,,USA:North Carolina,North Carolina,USA,,,Cucumis sativus,,,,,,"Cucumber, Cucumis sativus",,,,,,,,,,,,strain=FJ001,,,,,USA,,,Childs,,,,,,,,,,,Michigan State University,986.0,,Flavobacterium johnsoniae,Flavobacterium johnsoniae,,,,identical,,,,,,2019-09-01T00:51:27.237,,,,,,,Major,,,SAMN09870173,FJ002,metagenomic assembly,2019/09/09,Michigan State University,60.0x,,PacBio RSII,PacBio,,,986.0,,,FJ001,,,"Microbe, viral or environmental",Microbe.1.0,Michigan State University,,,986.0,,,,,,,,,latest,,,,True,Unclassified
1759,GCA_008367235.1,GCA_008367235.1_ASM836723v1_genomic,s__algicola (UID2846),99.34,0.99,0.0,94.39,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Uncl. Flavobacteriaceae,Uncl. Flavobacteriaceae sp.,20,20,4907048,4907048,0.0,2,982853,2,982853,6,332057,6,332057,1574046,1574046,8,98.292,0.41514,0.04846,Medium,4185,6984,1592,2646,154,38.04062126642771,63.225806451612904,3.679808841099164,ASM836723v1,,20 m,,,,Contig,SPAdes v. 3.8.0,,PRJNA563141,SAMN12669200,,Microbe sample from Flavobacteriaceae bacterium S2-4-21,,,,Zhaobin Huang,Nov-2018,"Paraeuzebyella sediminis gen. nov., sp. nov., a Novel Marine Bacterium in the Family Flavobacteriaceae",2019-09-10T00:00:00Z,zbhuangemail@gmail.com,,20.0,,KCTC:72152,,,,,,,,,,,,,,,,,,,,,Zhaobin,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/367/235/GCA_008367235.1_ASM836723v1,,GCF_008367235.1,VTZS01000000,,Flavobacteriaceae bacterium S2-4-21,,Full,WGS,,"China: Quanzhou, Fujian","Quanzhou, Fujian",China,,,,,,,,,,,,,,,,,,,,,strain=S2-4-21,,,,,China,,coastal sediment from cordgrass Spartina alterniflora,Huang,24.85,,118.67,,,,,,,,"Third Institute of Oceanography, SOA",2607998.0,,Flavobacteriaceae bacterium S2-4-21,Flavobacteriaceae bacterium S2-4-21,,,,identical,,,,,,2019-08-31T00:00:00.000,,,,,,,Major,,,SAMN12669200,S2421,cell culture,2019/09/10,"Third Institute of Oceanography, SOA",100x,,Illumina HiSeq,Illumina,,,2607998.0,,,S2-4-21,,,"Microbe, viral or environmental",Microbe.1.0,"Third Institute of Oceanography, SOA",,,2607998.0,,,,,,,,,latest,VTZS00000000.1,,Marine,False,Marine
1760,GCA_008367275.1,GCA_008367275.1_ASM836727v1_genomic,s__algicola (UID2846),99.34,0.66,0.0,96.04,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Uncl. Flavobacteriaceae,Uncl. Flavobacteriaceae sp.,17,17,4979987,4979987,0.0,2,1126611,2,1126611,5,387810,5,387810,2168372,2168372,8,98.747,0.4145100000000001,0.04703,Medium,4276,7085,1621,2716,154,37.90926099158092,63.51730589335828,3.6014967259120665,ASM836727v1,,20 m,,,,Contig,SPAdes v. 3.8.0,,PRJNA563141,SAMN12669199,,Microbe sample from Flavobacteriaceae bacterium MT2-5-19,,,,Zhaobin Huang,Mar-2019,"Paraeuzebyella sediminis gen. nov., sp. nov., a Novel Marine Bacterium in the Family Flavobacteriaceae",2019-09-10T00:00:00Z,zbhuangemail@gmail.com,,17.0,,KCTC:72539,,,,,,,,,,,,,,,,,,,,,Zhaobin,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/367/275/GCA_008367275.1_ASM836727v1,,GCF_008367275.1,VTZT01000000,,Flavobacteriaceae bacterium MT2-5-19,,Full,WGS,,"China: Quanzhou, Fujian","Quanzhou, Fujian",China,,,,,,,,,,,,,,,,,,,,,strain=MT2-5-19,,,,,China,,coastal sediment from oyster culture field,Huang,24.85,,118.67,,,,,,,,"Third Institute of Oceanography, SOA",2607999.0,,Flavobacteriaceae bacterium MT2-5-19,Flavobacteriaceae bacterium MT2-5-19,,,,identical,,,,,,2019-08-31T00:00:00.000,,,,,,,Major,,,SAMN12669199,MT2519,cell culture,2019/09/10,"Third Institute of Oceanography, SOA",100x,,Illumina HiSeq,Illumina,,,2607999.0,,,MT2-5-19,,,"Microbe, viral or environmental",Microbe.1.0,"Third Institute of Oceanography, SOA",,,2607999.0,,,,,,,,,latest,VTZT00000000.1,,Marine,False,Marine
1761,GCA_008369745.1,GCA_008369745.1_ASM836974v1_genomic,f__Flavobacteriaceae (UID2817),99.65,0.41,0.0,97.6,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium nitrogenifigens,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium nitrogenifigens,1,1,5497186,5497186,0.0,1,5497186,1,5497186,1,5497186,1,5497186,5497186,5497186,1,100.0,0.3422,0.0,Medium,4623,7651,1716,2878,225,37.11875405580792,62.25394765303916,4.866969500324465,ASM836974v1,,,,,,Complete Genome,HGAP v. 4,,PRJNA563552,SAMN12676130,,Microbe sample from Flavobacterium nitrogenifigens,,,,,2019-08-03,Whole genome sequencing for comparative genomics,2019-09-11T00:00:00Z,tbd01188@knu.ac.kr,,1.0,,,,,,,,,,,,,,,,,,,,,,,MinJi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/369/745/GCA_008369745.1_ASM836974v1,,GCF_008369745.1,CP043612,,Flavobacterium nitrogenifigens strain KACC 18538,,Full,Complete,,South Korea,,South Korea,,,,,,,,,,,,,,,,,,,,,strain=KACC 18538,,,,,,,Rhizosphere of switchgrass,Kim,,,,,,,,,,,Kyungpook National University,1617283.0,,Flavobacterium nitrogenifigens,Flavobacterium nitrogenifigens,,,,identical,,,,,,2019-09-03T00:00:00.000,,,representative genome,,,,Major,,,SAMN12676130,Flavobacterium nitrogenifigens KACC 18538,cell culture,2019/09/11,Kyungpook National University,211.0x,,PacBio RSII,PacBio,,,1617283.0,,,KACC 18538,,,"Microbe, viral or environmental",Microbe.1.0,Kyungpook National University,,,1617283.0,,,,,,,,,latest,,,,False,Non_marine
1762,GCA_008370685.1,GCA_008370685.1_ASM837068v1_genomic,s__algicola (UID2847),99.24,1.8,22.22,90.24,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina sp.,259,259,7041311,7041311,0.0,30,79500,30,79500,98,21355,98,21355,254211,254211,50,67.893,0.32979,0.02839,Medium,5634,8625,1798,3020,173,31.91338303159389,53.603123890663824,3.070642527511537,ASM837068v1,,,,,,Contig,SOAPdenovo v. 2.0,,PRJNA563767,SAMN12687797,,Microbe sample from Aquimarina sp. RZ0,,,,,2018-02,Potential new bacteria,2019-09-11T00:00:00Z,cxy9991@163.com,,259.0,,,,,,,,,,,,,,,,,,,,,,,xuyang,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/370/685/GCA_008370685.1_ASM837068v1,,GCF_008370685.1,VTZU01000000,,Aquimarina sp. RZ0,,Full,WGS,,China,,China,,,,,,,,,,,,,,,,,,,,,strain=RZ0,,,,,,,red algae,chen,,,,,,,,,,,Shandong University at Weihai,2607730.0,,Aquimarina sp. RZ0,Aquimarina sp. RZ0,,,,identical,,,,,,2019-09-03T00:00:00.000,,,,5466.0,,,Major,,,SAMN12687797,RZ0,tissue samples,2019/09/11,Shandong University at Weihai,150.0x,,Illumina HiSeq,Illumina,,,2607730.0,,,RZ0,,,"Microbe, viral or environmental",Microbe.1.0,Shandong University at Weihai,,,2607730.0,,,,,,,,,latest,VTZU00000000.1,,,False,Unclassified
1763,GCA_008386485.1,GCA_008386485.1_ASM838648v1_genomic,o__Flavobacteriales (UID2815),100.0,0.25,0.0,98.75,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium viscerum,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium viscerum,35,35,5153060,5153060,0.0,6,339377,6,339377,16,96525,16,96525,760151,760151,20,95.922,0.3618,0.02487,Medium,4645,6998,1590,2740,95,34.230355220667384,58.98815931108721,2.045209903121636,ASM838648v1,,,,,,Contig,Spades de novo v. 3.10.0,"Dr. John Kyndt, Bellevue University, 1000 Galvin Rd. South, Bellevue, NE, 68005, USA",PRJNA561623,SAMN12659179,,Microbe sample from Chryseobacterium viscerum,,,,John Kyndt,15-Jul-2019,"Dripping Springs is located on the western side of New Mexico’s Organ Mountains. This is an initial microbial analysis of the spring water and surrounding microbial mat. Both soil-water and water samples showed a high level of microbial biodiversity, consistent with the secluded and pristine nature of the area.",2019-09-16T00:00:00Z,jkyndt@bellevue.edu,,35.0,,,,,,,,,,,,"Fresh water spring in the Organ Mountains near Las Cruces, New Mexico",,,,,,,,,,,John,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/386/485/GCA_008386485.1_ASM838648v1,,GCF_008386485.1,VTPV01000000,,Chryseobacterium viscerum strain DPS,,Full,WGS,,"USA: Dripping Springs, Las Cruces, Organ Mountains, Las Cruces, NM","Dripping Springs, Las Cruces, Organ Mountains, Las Cruces, NM",USA,,,,,,,,,,,,,,,,,,,,John Kyndt,strain=DPS,,,,,USA,,fresh water from natural spring,Kyndt,32.3231,,-106.5733,,,,,,,,Bellevue University,1037377.0,,Chryseobacterium viscerum,Chryseobacterium viscerum,,,,identical,,,,,,2019-08-29T00:00:00.000,,,representative genome,,,,Major,,,SAMN12659179,Chryseobacterium viscerum DPS,Purified culture,2019/09/16,Bellevue University,22.0x,,Illumina MiniSeq,Illumina,,,1037377.0,,,DPS,,,"Microbe, viral or environmental",Microbe.1.0,Bellevue University,,,1037377.0,,,,,,,,,latest,VTPV00000000.1,,Non_marine,False,Non_marine
1764,GCA_008386505.1,GCA_008386505.1_ASM838650v1_genomic,o__Flavobacteriales (UID2815),100.0,0.25,0.0,98.75,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp.,12,13,4913947,4913746,0.004,1,2664797,2,1306861,5,248915,6,248915,2664797,1357735,7,99.745,0.35983000000000004,0.07026,Medium,4442,6975,1583,2703,113,35.637100405222874,60.85096803241783,2.5438991445294907,ASM838650v1,,,,,,Scaffold,ABySS v. 2.0,,PRJNA560745,SAMN12598843,,Chryseobacterium sediminis isolated from a river sediment,,,,,2015-01,Draft genome sequence of Chryseobacteium sediminis,2019-09-15T00:00:00Z,woo1582@naver.com,,12.0,,,,,,,,,,,,,,,,,,,,,,,Wan-Taek,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/386/505/GCA_008386505.1_ASM838650v1,,GCF_008386505.1,VUNZ01000000,,Chryseobacterium sediminis strain IMT-174,,Full,WGS,,Guyana: Georgetown,Georgetown,Guyana,,,,,,,,,,,,,,,,,,,,,strain=IMT-174,,,,,Guyana,,river sediment,Im,,,,,,,,,,,Hankyong National University,1679494.0,,Chryseobacterium sediminis,Chryseobacterium sediminis,,,,identical,,,,,26283329,2019-08-23T00:00:00.000,,,representative genome,4361.0,,assembly from type material,Major,,,SAMN12598843,Chryseobacterium sediminis isolated from a river sediment,whole organism,2019/09/15,Hankyong National University,30.0x,,Illumina HiSeq,Illumina,,,1679494.0,,,IMT-174,,,"Microbe, viral or environmental",Microbe.1.0,Hankyong National University,,,1679494.0,,,,,,type strain of Chryseobacterium sediminis,,,latest,VUNZ00000000.1,,,False,Non_marine
1765,GCA_008386635.1,GCA_008386635.1_ASM838663v1_genomic,s__algicola (UID2846),99.67,0.54,0.0,96.97,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;s__Maribacter aurantiacus,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter aurantiacus,6,11,4303602,4303115,0.011,1,2406184,2,766565,3,403939,6,162442,2406184,1875221,4,98.933,0.41813,0.04224,Medium,3780,6282,1441,2419,104,38.12169312169311,63.99470899470899,2.751322751322751,ASM838663v1,,,,,,Scaffold,SPAdes v. 3.13.0,,PRJNA563987,SAMN12697401,,Microbe sample from Maribacter flavus,,,,,2015,Genome sequencing of Maribacter flavus strain C3,2019-09-15T00:00:00Z,shehzadkhan12786@gmail.com,,6.0,,KCTC:42508,,,,,,,,,,,,,,,,,,,,,SHEHZAD,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/386/635/GCA_008386635.1_ASM838663v1,,GCF_008386635.1,VUOE01000000,,Maribacter flavus strain C3 strain KCTC 42508,,Full,WGS,,China,,China,,,,,,,,,,,,,,,,,,,,,strain=KCTC 42508,,,,,,,cyanobacterial culture pond,KHAN,,,,,,,,,,,CHUNG ANG UNIVERSITY,1658664.0,,Maribacter flavus,Maribacter flavus,,,,identical,,,,,,2019-09-05T00:00:00.000,,,representative genome,3671.0,,assembly from type material,Major,,,SAMN12697401,culture collection,cyanobacterial culture,2019/09/15,CHUNG ANG UNIVERSITY,11.0x,,Illumina,Illumina,,,1658664.0,,,KCTC 42508,,,"Microbe, viral or environmental",Microbe.1.0,CHUNG ANG UNIVERSITY,,,1658664.0,,,,,,type strain of Maribacter flavus,,,latest,VUOE00000000.1,,,False,Unclassified
1766,GCA_008501705.1,GCA_008501705.1_ASM850170v1_genomic,s__algicola (UID2847),95.85,1.59,66.67,87.89999999999998,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__RR4-38;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,RR4-38,RR4-38 sp.,242,242,3083223,3083223,0.0,56,17232,56,17232,174,6436,174,6436,64987,64987,3,5.7029999999999985,0.41898,0.01423,Low,2854,4694,1110,1793,64,38.8927820602663,62.82410651716889,2.242466713384723,ASM850170v1,,,,,,Contig,SPAdes v. 3.7.1,,PRJNA482223,SAMN09708589,,Anammox reactor biomass,,,,,2017,"In this study, moderate saline ammonium-rich wastewater was treated using anammox bioreactor.",2019-09-18T00:00:00Z,muhammad.ali@kaust.edu.sa,,242.0,,,0.1 m,,,,,,,10 m,Bioreactor biofilm,,Bioreactor,,Mixed liquor suspended solids,,,1,,derived from metagenome,,,Muhammad,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/501/705/GCA_008501705.1_ASM850170v1,,,QQUG01000000,,Flavobacterium sp. strain BCD2,,Full,WGS,,Saudi Arabia: KAUST,KAUST,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,BCD2,,Saudi Arabia,,marine ANAMMOX bioreactor,Ali,22.309774,,39.102511,,,,marine metagenome,,,,KAUST,239.0,This BioSample is a metagenomic assembly obtained from the bioreactor metagenome BioSample: SAMN09700846.,Flavobacterium sp.,Flavobacterium sp.,,,,,,,,,,2019-08-31T00:50:04.807,,,,3008.0,,,Major,,,SAMN09708589,BCD2,metagenomic assembly,2019/09/18,KAUST,10x,,Illumina HiSeq,Illumina,,,239.0,,,BCD2,,,"Microbe, viral or environmental",Microbe.1.0,KAUST,,,239.0,,,,,,,,,latest,QQUG00000000.1,,Non_marine,True,Marine
1767,GCA_008629655.1,GCA_008629655.1_ASM862965v1_genomic,f__Flavobacteriaceae (UID2817),99.16,0.71,0.0,95.61,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides sp.,31,36,3342959,3342476,0.014,5,260697,6,223713,14,64585,18,57204,512708,393260,16,93.819,0.34449,0.03212,Medium,3203,4846,1127,1865,32,35.18576334686232,58.226662503902595,0.9990633780830472,ASM862965v1,,,,,,Scaffold,SPAdes v. 3.12,,PRJNA564023,SAMN12698558,,Microbe sample from Flavobacterium sp. SNL9,,,,,18-May-2018,Flavobacterium sp Genome sequencing and assembly,2019-09-20T00:00:00Z,lucky_salman12@yahoo.com,,31.0,,,,,,,,,,,,,,,,,,,,,,,Geeta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/629/655/GCA_008629655.1_ASM862965v1,,GCF_008629655.1,VWSG01000000,,Flavobacterium sp. SNL9,,Full,WGS,,South Korea: Ilsan,Ilsan,South Korea,,,,,,,,,,,,,,,,,,,,,strain=SNL9,,,,,South Korea,,water,Chhetri,,,,,,,,,,,"Dongguk University, Biomedi Campus",2608000.0,,Flavobacterium sp. SNL9,Flavobacterium sp. SNL9,,,,identical,,,,,,2019-09-05T00:00:00.000,,,,3136.0,,,Major,,,SAMN12698558,Flavobacterium sp.,single cell,2019/09/20,"Dongguk University, Biomedi Campus",278.2x,,Illumina HiSeq,Illumina,,,2608000.0,,,SNL9,,,"Microbe, viral or environmental",Microbe.1.0,"Dongguk University, Biomedi Campus",,,2608000.0,,,,,,,,,latest,VWSG00000000.1,,,False,Unclassified
1768,GCA_008630605.1,GCA_008630605.1_ASM863060v1_genomic,s__algicola (UID2846),99.34,0.83,0.0,95.19,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Algibacter_B;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algibacter_B,Algibacter_B sp.,50,50,4374034,4374015,0.0,3,355181,3,355179,11,152069,11,152069,1154283,1154283,14,98.316,0.33474,0.03847,Medium,3576,6467,1466,2319,201,40.99552572706935,64.8489932885906,5.620805369127517,ASM863060v1,,,,,,Contig,SOAPdenovo v. 2.0,,PRJNA565136,SAMN12735330,,Microbe sample from Algibacter amylolyticus,,,,,2013-09-06,reference bacteria of potential new species,2019-09-20T00:00:00Z,cxy9991@163.com,,50.0,,,,,,,,,,,,,,,,,,,,,,,xuyang,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/630/605/GCA_008630605.1_ASM863060v1,,GCF_008630605.1,VWRS01000000,,Algibacter amylolyticus strain RU-4-M-4,,Full,WGS,,China,,China,,,,,,,,,,,,,,,,,,,,,strain=RU-4-M-4,,,,,,,sediment,chen,,,,,,,,,,,Shandong University at Weihai,1608400.0,,Algibacter amylolyticus,Algibacter amylolyticus,,,,identical,,,,,25713044,2019-09-12T00:00:00.000,,,representative genome,3539.0,,assembly from type material,Major,,,SAMN12735330,intertidal sediment,sediment,2019/09/20,Shandong University at Weihai,150.0x,,Illumina HiSeq,Illumina,,,1608400.0,,,RU-4-M-4,,,"Microbe, viral or environmental",Microbe.1.0,Shandong University at Weihai,,,1608400.0,,,,,,type strain of Algibacter amylolyticus,,,latest,VWRS00000000.1,,,False,Marine
1769,GCA_008692195.1,GCA_008692195.1_ASM869219v1_genomic,s__algicola (UID2847),99.62,0.57,0.0,96.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mesonia;s__,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia,Mesonia sp.,68,73,4078432,4077997,0.011,9,173110,10,165445,26,40208,29,36801,371146,371146,24,87.936,0.35194000000000003,0.0559,Medium,3598,6179,1366,2258,119,37.965536409116176,62.75708727070594,3.3073929961089497,ASM869219v1,,,,,,Scaffold,SPAdes v. 3.5.0,,PRJNA509984,SAMN10591615,,Salegentibacter sp. strain R32 isolated from marine sediment,,,,Peisheng Yan,2012-10,For bacterial novel species identification,2019-09-24T00:00:00Z,jpzhouying@163.com,,68.0,,,,,,,,,,,,,,,,,,,,,,,Ying,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/692/195/GCA_008692195.1_ASM869219v1,,GCF_008692195.1,RXOM01000000,,Salegentibacter sp. R32,,Full,WGS,,Atlantic Ocean,,Atlantic Ocean,,,,,,,,,,,,,,,,,,,,Ying Zhou and Peisheng Yan,strain=R32,,,,,,,marine sediment,Zhou,,,,,,,,,,,Harbin Institute of Technology at Weihai,1486285.0,,Salegentibacter sp. R32,Salegentibacter sp. R32,,,,identical,,,,,,2018-12-14T00:00:00.000,,,,,,,Major,,,SAMN10591615,R32,marine sediment,2019/09/24,Harbin Institute of Technology at Weihai,796.0x,,Illumina,Illumina,,,1486285.0,,,R32,,,"Microbe, viral or environmental",Microbe.1.0,Harbin Institute of Technology at Weihai,,,1486285.0,,,,,,,,,latest,RXOM00000000.1,,,False,Marine
1770,GCA_008705155.1,GCA_008705155.1_ASM870515v1_genomic,k__Bacteria (UID2565),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter brevis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,Empedobacter brevis,4,4,3636346,3636346,0.0,1,3591742,1,3591742,1,3591742,1,3591742,3591742,3591742,1,98.773,0.32641,0.00924,Medium,3395,5341,1275,2092,51,37.555228276877756,61.620029455080996,1.5022091310751104,ASM870515v1,,,,,,Complete Genome,SPAdes v. 3.11.1,,PRJNA563978,SAMN12697340,,Microbe sample from Empedobacter brevis,,,,,Jun-2019,Co-occurrence of two tet(X) variants in an Empedobacter brevis of shrimp origin,2019-09-24T00:00:00Z,rchl88@yeah.net,,4.0,,,,,,,,,,,,,,,,,,,,,,,Ruichao,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/705/155/GCA_008705155.1_ASM870515v1,,GCF_008705155.1,"CP043634,CP043637,CP043636,CP043635",,Empedobacter brevis strain SE1-3,,Full,Complete,,China: Yangzhou,Yangzhou,China,,,,,,,,,,,,,,,,,,,,,strain=SE1-3,,,,,China,,food,Li,,,,,,,,,,,Yangzhou University,247.0,,Empedobacter brevis,Empedobacter brevis,,,,identical,,3.0,,,,2019-09-27T06:38:16.413,,,,3344.0,,,Major,,,SAMN12697340,SE1-3,shrimp,2019/09/24,Yangzhou University,80.0x,,Oxford Nanopore MiniION; Illumina HiSeq,Oxford Nanopore,,,247.0,,,SE1-3,,,"Microbe, viral or environmental",Microbe.1.0,Yangzhou University,,,247.0,,,,,,,,,latest,,,,False,Unclassified
