Assembly accession,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
GCA_013394735.1,ASM1339473v1,,,,,,Complete Genome,,,PRJNA282954,SAMN15360087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/394/735/GCA_013394735.1_ASM1339473v1,,GCF_013394735.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=W10638,,,,,,,,,,,,,,,,,,,,,,,Capnocytophaga sp. oral taxon 902,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/08,,,,,,,,2748316.0,,,,,,,,The Forsyth Institute,,,2748316.0,,,,,,,,,latest,,,,False,Unclassified
GCA_013394785.1,ASM1339478v1,,,,,,Contig,,,PRJNA282954,SAMN15360088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/394/785/GCA_013394785.1_ASM1339478v1,,GCF_013394785.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=W10654,,,,,,,,,,,,,,,,,,,,,,,Capnocytophaga sp. oral taxon 903,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/08,,,,,,,,2748317.0,,,,,,,,The Forsyth Institute,,,2748317.0,,,,,,,,,latest,JABXYW000000000.1,,,False,Unclassified
GCA_013401995.1,ASM1340199v1,,,,,,Scaffold,,,PRJNA644228,SAMN15455295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/995/GCA_013401995.1_ASM1340199v1,,GCF_013401995.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=MAH-1,,,,,,,,,,,,,,,,,,,,,,,Flavobacterium sp. MAH-1,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/11,,,,,,,,2743471.0,,,,,,,,WFCC-MRCEN World Data Centre for Microoganisms(WDCM),,,2743471.0,,,,,,,,,latest,JACBJI000000000.1,,,False,Unclassified
GCA_013402795.1,ASM1340279v1,,,,,,Complete Genome,HGAP v. 2.3,,PRJNA643680,SAMN15423675,,,,,,,,Genome sequencing of Costertonia aggregata KCCM 42265,2020-07-12T00:00:00Z,,,1.0,,KCCM:42265,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/402/795/GCA_013402795.1_ASM1340279v1,,GCF_013402795.1,CP058595,,Costertonia aggregata strain KCCM 42265,,Full,Complete,,South Korea: East sea,East sea,South Korea,,,,,,,,,,,,,,,,,,,,,strain=KCCM 42265,,,,,South Korea,,,,,,,,,,,,,,,343403.0,,,Costertonia aggregata,,,,identical,,,,,16738113,,,,representative genome,3543.0,,assembly from type material,Major,,,,,single cell,2020/07/12,National Marine Biodiversity Institute of Korea,86.3x,,Illumina NovaSeq; PacBio RSII,Illumina; PacBio,,,343403.0,,,KCCM 42265,,,,,National Marine Biodiversity Institute of Korea,,,343403.0,,,,,,,,,latest,,,,False,Unclassified
GCA_013403865.1,ASM1340386v1,,,,,,Contig,,,PRJNA630549,SAMN14839535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/403/865/GCA_013403865.1_ASM1340386v1,,GCF_013403865.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=Z3138,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella sp. Z3138,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2697008.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,2697008.0,,,,,,,,,latest,JABFDK000000000.1,,,False,Unclassified
GCA_013403915.1,ASM1340391v1,,,,,,Scaffold,,,PRJNA630549,SAMN14839533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/403/915/GCA_013403915.1_ASM1340391v1,,GCF_013403915.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=R3187,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella pacifica,,,,identical,,,,,,,,,representative genome,,,,Major,,,,,,2020/07/13,,,,,,,,664642.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,664642.0,,,,,,,,,latest,JABFDI000000000.1,,,False,Unclassified
GCA_013403925.1,ASM1340392v1,,,,,,Contig,,,PRJNA630549,SAMN14839534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/403/925/GCA_013403925.1_ASM1340392v1,,GCF_013403925.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=Z738,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella sp. Z738,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2697007.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,2697007.0,,,,,,,,,latest,JABFDJ000000000.1,,,False,Unclassified
GCA_013403955.1,ASM1340395v1,,,,,,Contig,,,PRJNA630549,SAMN14839531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/403/955/GCA_013403955.1_ASM1340395v1,,GCF_013403955.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=HL634,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella sp. HL634,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2615024.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,2615024.0,,,,,,,,,latest,JABFDG000000000.1,,,False,Unclassified
GCA_013403975.1,ASM1340397v1,,,,,,Contig,,,PRJNA630549,SAMN14839532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/403/975/GCA_013403975.1_ASM1340397v1,,GCF_013403975.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=HL4150,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella sp. HL4150,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2686079.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,2686079.0,,,,,,,,,latest,JABFDH000000000.1,,,False,Unclassified
GCA_013403985.1,ASM1340398v1,,,,,,Contig,,,PRJNA630549,SAMN14839530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/403/985/GCA_013403985.1_ASM1340398v1,,GCF_013403985.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=HL116,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella sp. HL116,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2686076.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,2686076.0,,,,,,,,,latest,JABFDF000000000.1,,,False,Unclassified
GCA_013404005.1,ASM1340400v1,,,,,,Contig,,,PRJNA630549,SAMN14839529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/404/005/GCA_013404005.1_ASM1340400v1,,GCF_013404005.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=Ha767,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella sp. Ha767,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2697013.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,2697013.0,,,,,,,,,latest,JABFDE000000000.1,,,False,Unclassified
GCA_013404025.1,ASM1340402v1,,,,,,Contig,,,PRJNA630549,SAMN14839528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/404/025/GCA_013404025.1_ASM1340402v1,,GCF_013404025.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=Z3185,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella undariae,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,1285465.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,1285465.0,,,,,,,,,latest,JABFDD000000000.1,,,False,Unclassified
GCA_013404055.1,ASM1340405v1,,,,,,Contig,,,PRJNA630549,SAMN14839527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/404/055/GCA_013404055.1_ASM1340405v1,,GCF_013404055.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=Ha325,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella undariae,,,,identical,,,,,,,,,representative genome,,,,Major,,,,,,2020/07/13,,,,,,,,1285465.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,1285465.0,,,,,,,,,latest,JABFDC000000000.1,,,False,Unclassified
GCA_013404085.1,ASM1340408v1,,,,,,Contig,,,PRJNA630549,SAMN14839905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/404/085/GCA_013404085.1_ASM1340408v1,,GCF_013404085.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=Z963,,,,,,,,,,,,,,,,,,,,,,,Winogradskyella sp. Z963,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2697010.0,,,,,,,,Mediterranean Institute For Advanced Studies,,,2697010.0,,,,,,,,,latest,JABFHO000000000.1,,,False,Unclassified
GCA_013407935.1,ASM1340793v1,,,,,,Scaffold,,,PRJNA581034,SAMN13189930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/935/GCA_013407935.1_ASM1340793v1,,GCF_013407935.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=ARW1Y1,,,,,,,,,,,,,,,,,,,,,,,Muricauda sp. ARW1Y1,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2663843.0,,,,,,,,DOE Joint Genome Institute,,,2663843.0,,,,,,,,,latest,JACBZU000000000.1,,,False,Unclassified
GCA_013410675.1,ASM1341067v1,,,,,,Contig,,,PRJNA632196,SAMN14915980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/410/675/GCA_013410675.1_ASM1341067v1,,GCF_013410675.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=H1D6C,,,,,,,,,,,,,,,,,,,,,,,Chryseobacterium sp. H1D6C,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/13,,,,,,,,2735912.0,,,,,,,,DOE Joint Genome Institute,,,2735912.0,,,,,,,,,latest,JACCFZ000000000.1,,,False,Unclassified
GCA_013426055.1,ASM1342605v1,,,,,,Complete Genome,HGAP v. v3.0,,PRJNA633452,SAMN14943929,,,,,,Jiyeon Park,27-Sep-2018,"It was isolated from the spleen of rainbow trout that died for the first time in Korea and consists of genome size 2,795,347 bp and was sequenced to obtain pathogen characteristics and epidemiological information.",2020-07-20T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,many frameshifted proteins,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/426/055/GCA_013426055.1_ASM1342605v1,,,CP059061,,Flavobacterium psychrophilum strain FPRT1,,Full,Complete,,South Korea: Busan,Busan,South Korea,,,,,,,,,,,,,,,,,,,,,strain=FPRT1,,,,"isolated from the spleen of rainbow trout that died for the first time in Korea and consists of genome size 2,795,347 bp and was sequenced to obtain pathogen characteristics and epidemiological information",South Korea,,spleen,,,,,,,,,,,,,96345.0,,,Flavobacterium psychrophilum,,,,,,,,,,,,,,2453.0,,,Major,,,,,,2020/07/20,Pukyong National University,319.0x,,PacBio RSII,PacBio,,,96345.0,,,FPRT1,,,,,Pukyong National University,,,96345.0,,,,,,,,,latest,,,,False,Unclassified
GCA_013457195.1,ASM1345719v1,,,,,,Complete Genome,,,PRJNA645884,SAMN02903962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/457/195/GCA_013457195.1_ASM1345719v1,,GCF_013457195.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=strain 950106-1/1,,,,,,,,,,,,,,,,,,,,,,,Flavobacterium psychrophilum,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/22,,,,,,,,96345.0,,,,,,,,University of Copenhagen,,,96345.0,,,,,,,,,latest,,,,False,Unclassified
GCA_013488205.1,ASM1348820v1,,,,,,Complete Genome,unicycler v. 0.3.0,,PRJNA547874,SAMN11980259,,,,,,,2019-04,Genomic anaylsis of an Empedobacter falsenii isolate from China,2020-07-23T00:00:00Z,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/488/205/GCA_013488205.1_ASM1348820v1,,GCF_013488205.1,"CP040908,CP040909",,Empedobacter falsenii strain 1681-1,,Full,Complete,,China,,China,,,Homo sapiens,,,,,,Homo sapiens,,,,,,,,,,,,strain=1681-1,,,,,,,,,,,,,,,,,,,,343874.0,,,Empedobacter falsenii,,,,identical,,1.0,,,,,,,representative genome,3396.0,,,Major,,,,,feces,2020/07/23,The Hong Kong Polytechnic University,50.0x,,Nanopore MinION; illumina,Oxford Nanopore,,,343874.0,,,1681-1,,,,,The Hong Kong Polytechnic University,,,343874.0,,,,,,,,,latest,,,,False,Non_marine
GCA_013820965.1,ASM1382096v1,,,,,,Scaffold,SPAdes v. 3.14.0,,PRJNA630822,SAMN15052332,,,,,,,2015-01,"A surprising diversity and abundance of microorganisms resides in the cold desert soils of Antarctica. The metabolic processes that sustain them, however, are poorly understood. In this study, we used metagenomic and biogeochemical approaches to study the microbial communities in 16 physicochemically diverse mountainous and glacial soils from remote sites in South Victoria Land, north of the Mackay Glacier. We assembled 451 metagenome-assembled genomes from 18 bacterial and archaeal phyla, constituting the largest resource of Antarctic soil microbial genomes to date. The most abundant and prevalent microorganisms are metabolically versatile aerobes that use atmospheric hydrogen and carbon monoxide to meet energy, carbon, and, through metabolic water production, hydration needs. Phylogenetic analysis and structural modelling infer that bacteria from nine phyla can scavenge atmospheric hydrogen using a previously unreported enzyme family, the group 1l [NiFe]-hydrogenases. Consistently, gas chromatography measurements confirmed most soils rapidly consume atmospheric hydrogen and carbon monoxide, and provide the first experimental evidence of methane oxidation in non-maritime Antarctica. We also recovered genomes of microorganisms capable of oxidizing other inorganic compounds, including nitrogen, sulfur, and iron compounds, as well as harvesting solar energy via photosystems and novel microbial rhodopsins. Bacterial lineages defined by symbiotic lifestyles, including Patescibacteria, Chlamydiae, and predatory Bdellovibrionota, were also surprisingly abundant. We conclude that the dominant microorganisms in Antarctic soils adopt mixotrophic strategies for energy and sometimes carbon acquisition, though they co-exist with diverse bacteria and archaea that adopt more specialist lifestyles. These unprecedented insights and associated genome compendium will inform efforts to protect biodiversity in this continent.",2020-07-28T00:00:00Z,,,632.0,,,0 - 5 cm,,,,,,,,,,,,,,,,,derived from metagenome; fragmented assembly,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/820/965/GCA_013820965.1_ASM1382096v1,,,"JACDHP010000004,JACDHP010000217,JACDHP010000218,JACDHP010000219,JACDHP010000220,JACDHP010000221,JACDHP010000222",,Flavobacteriales bacterium strain MGR_bin441,Low contig N50,Full,WGS,,"Antarctica: Mackay Glacier regions, Flatiron","Mackay Glacier regions, Flatiron",Antarctica,,,,,,,,,,,,,,,,,,,,,,,,MGR_bin441,,Antarctica,,mineral soil,,,,,,,,,,,,,2021391.0,,,Flavobacteriales bacterium,,,,,,,,,,,,,,2617.0,,,Major,,,,,metagenomic assembly,2020/07/28,Monash University,6.715031332513301x,,Illumina NextSeq,Illumina,,,2021391.0,,,MGR_bin441,,,,,Monash University,,,2021391.0,,,,,,,,,latest,JACDHP000000000.1,,,True,Non_marine
GCA_013821805.1,ASM1382180v1,,,,,,Contig,Megahit v. v1.0.1,,PRJNA323575,SAMN08286431,,,,,,,26-Mar-2014,An integrated analysis of microbial community structure and functionalities in a groundwater-derived drinking water system.Metagenomic analysis provides genomic insights of opportunistic pathogens recovered from different stages of a drinking water system,2020-07-28T00:00:00Z,,,244.0,,,,,,,,,,,,,,,,,,,,derived from metagenome,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/821/805/GCA_013821805.1_ASM1382180v1,,,PNJJ01000000,,Flavobacterium sp. strain WM.3.56,,Full,WGS,,"USA: Illinois, Champaign","Illinois, Champaign",USA,,,,,,,,,,,,,,,,,,,,,,,,WM.3.56,derived drinking water system,USA,,drinking water system-WM,,,,,,,,,,,,,239.0,,,Flavobacterium sp.,,,,,,,,,,,,,,2610.0,,,Major,,,,,metagenomic assembly,2020/07/28,University of Illinois at Urbana-Champaign,0.9x,,Illumina HiSeq,Illumina,,,239.0,,,WM.3.56,,,,,University of Illinois at Urbana-Champaign,,,239.0,,,,,,,,,latest,PNJJ00000000.1,,,True,Non_marine
GCA_013822155.1,ASM1382215v1,,,,,,Contig,Megahit v. v1.0.1,,PRJNA323575,SAMN08286418,,,,,,,26-Mar-2014,An integrated analysis of microbial community structure and functionalities in a groundwater-derived drinking water system.Metagenomic analysis provides genomic insights of opportunistic pathogens recovered from different stages of a drinking water system,2020-07-28T00:00:00Z,,,208.0,,,,,,,,,,,,,,,,,,,,derived from metagenome,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/822/155/GCA_013822155.1_ASM1382215v1,,,PNJW01000000,,Flavobacterium sp. strain WM.006,,Full,WGS,,"USA: Illinois, Champaign","Illinois, Champaign",USA,,,,,,,,,,,,,,,,,,,,,,,,WM.006,derived drinking water system,USA,,drinking water system-WM,,,,,,,,,,,,,239.0,,,Flavobacterium sp.,,,,,,,,,,,,,,3166.0,,,Major,,,,,metagenomic assembly,2020/07/28,University of Illinois at Urbana-Champaign,10.4x,,Illumina HiSeq,Illumina,,,239.0,,,WM.006,,,,,University of Illinois at Urbana-Champaign,,,239.0,,,,,,,,,latest,PNJW00000000.1,,,True,Non_marine
GCA_013823965.1,ASM1382396v1,,,,,,Contig,Megahit v. v1.0.1,,PRJNA323575,SAMN08286336,,,,,,,08-Sep-2014,An integrated analysis of microbial community structure and functionalities in a groundwater-derived drinking water system.Metagenomic analysis provides genomic insights of opportunistic pathogens recovered from different stages of a drinking water system,2020-07-28T00:00:00Z,,,108.0,,,,,,,,,,,,,,,,,,,,derived from metagenome,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/823/965/GCA_013823965.1_ASM1382396v1,,,PNNA01000000,,Flavobacterium sp. strain BC.034,,Full,WGS,,"USA: Illinois, Champaign","Illinois, Champaign",USA,,,,,,,,,,,,,,,,,,,,,,,,BC.034,derived drinking water system,USA,,drinking water system-before chlorination,,,,,,,,,,,,,239.0,,,Flavobacterium sp.,,,,,,,,,,,,,,2653.0,,,Major,,,,,metagenomic assembly,2020/07/28,University of Illinois at Urbana-Champaign,22.5x,,Illumina HiSeq,Illumina,,,239.0,,,BC.034,,,,,University of Illinois at Urbana-Champaign,,,239.0,,,,,,,,,latest,PNNA00000000.1,,,True,Non_marine
GCA_013874595.1,ASM1387459v1,,,,,,Complete Genome,SMRT v. 2.3.0,,PRJNA647669,SAMN15594985,,,,,,,2019-05,get a full genome,2020-07-29T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/874/595/GCA_013874595.1_ASM1387459v1,,GCF_013874595.1,CP059431,,Flavobacterium sp. xlx-214,,Full,Complete,,China: Jiangxi Province,Jiangxi Province,China,,,Procambarus clarkii,,,,,,Procambarus clarkii,,,,,,,,,,,,strain=xlx-214,,,,,China,,intestinal contents,,,,,,,,,,,,,2654325.0,,,Flavobacterium sp. xlx-214,,,,identical,,,,,,,,,,2742.0,,,Major,,,,,,2020/07/29,China CDC,199.0x,,PacBio,PacBio,,,2654325.0,,,xlx-214,,,,,China CDC,,,2654325.0,,,,,,,,,latest,,,,False,Unclassified
GCA_013911645.1,ASM1391164v1,,,,,,Contig,IDBA_UD v. 1.1.1,,PRJNA638822,SAMN15215243,,,,,,,13-dec-2018,"Marine aquaculture (mariculture) is the fastest-growing food sector in the world to cover the increased demand for products for human consumption. However, the excessive input of nutrients along with pollutants modify the marine ecosystem. To date, how this human-made environment affects the microbial diversity in the water column and the surrounding areas remains unaddressed. By applying metagenomic assembly and recruitment, we conducted an analysis of samples collected from two depths on marine farms of gilthead seabream cultures (Sparus aurata). This bioproject describes metagenomic datasets from 2 different depths (10 and 20 m deep) and filter sizes (0.22-5 microns - Free Living [FL]; 5-20 microns - Particle attached [PA]. Samples were collected on December 2018 in a mariculture set up close to the coast of Alicante (Spain). Besides, we were able to retrieve 48 novel Metagenome Assembled Genomes (MAGs), which their taxonomy and metabolic function have been characterised in detail.",2020-07-29T00:00:00Z,,,9.0,,,10m,,,,,,,,,,,,,,,,,derived from metagenome,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/911/645/GCA_013911645.1_ASM1391164v1,,,"JACESV010000001,JACESV010000002,JACESV010000003,JACESV010000004,JACESV010000005,JACESV010000006,JACESV010000007",,Muricauda sp. strain MCMED-G25,,Full,WGS,,"Spain:Coast of Alicante, Western Mediterranean Sea, close to the coast of Guardamar del Segura","Coast of Alicante, Western Mediterranean Sea, close to the coast of Guardamar del Segura",Spain,,,,,,,,,,,,,,,,,,,,,,,,MCMED-G25,,Spain,,seawater from mariculture cage of adult gilthead seabream (Sparus aurata),,,,,,,,,,,,,192149.0,,,Muricauda sp.,,,,,,,,,,,,,,3493.0,,,Major,,,,,metagenomic assembly,2020/07/29,Evolutionary Genomics Group,20x,,Illumina NextSeq,Illumina,,,192149.0,,,MCMED-G25,,,,,Evolutionary Genomics Group,,,192149.0,,,,,,,,,latest,JACESV000000000.1,,,True,Marine
GCA_013978575.1,ASM1397857v1,,,,,,Contig,,,PRJNA647673,SAMN15596450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/978/575/GCA_013978575.1_ASM1397857v1,,GCF_013978575.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=cx-624,,,,,,,,,,,,,,,,,,,,,,,Chryseobacterium sp. cx-624,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/07/30,,,,,,,,2758037.0,,,,,,,,China CDC,,,2758037.0,,,,,,,,,latest,JACEUX000000000.1,,,False,Unclassified
GCA_014041915.1,ASM1404191v1,,,,,,Complete Genome,,,PRJNA647664,SAMN15594990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/041/915/GCA_014041915.1_ASM1404191v1,,GCF_014041915.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=cx-624,,,,,,,,,,,,,,,,,,,,,,,Chryseobacterium sp. cx-624,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/08/02,,,,,,,,2758037.0,,,,,,,,China CDC,,,2758037.0,,,,,,,,,latest,,,,False,Unclassified
GCA_014042165.1,ASM1404216v1,,,,,,Contig,,,PRJNA639917,SAMN15293944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/042/165/GCA_014042165.1_ASM1404216v1,,GCF_014042165.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=BDHS18,,,,,,,,,,,,,,,,,,,,,,,Moheibacter sp. BDHS18,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/08/02,,,,,,,,2745851.0,,,,,,,,Shandong University at Weihai,,,2745851.0,,,,,,,,,latest,JACDZE000000000.1,,,False,Unclassified
GCA_014050215.1,ASM1405021v1,,,,,,Contig,,,PRJNA647678,SAMN15596635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/050/215/GCA_014050215.1_ASM1405021v1,,GCF_014050215.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=xlx-221,,,,,,,,,,,,,,,,,,,,,,,Flavobacterium sp. xlx-221,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/08/03,,,,,,,,2758675.0,,,,,,,,China CDC,,,2758675.0,,,,,,,,,latest,JACFYW000000000.1,,,False,Unclassified
GCA_014062315.1,ASM1406231v1,,,,,,Scaffold,,,PRJNA649444,SAMN15667085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/062/315/GCA_014062315.1_ASM1406231v1,,GCF_014062315.1,,,,,Full,,,,,,,,,,,,,,,,,,,,,,,,,,strain=F6074,,,,,,,,,,,,,,,,,,,,,,,Gelidibacter sp. F6074,,,,identical,,,,,,,,,,,,,Major,,,,,,2020/08/04,,,,,,,,2761487.0,,,,,,,,"Shandong University,Weihai",,,2761487.0,,,,,,,,,latest,JACGLT000000000.1,,,False,Unclassified
