assembly_accession,strain,finishing strategy (depth of coverage),biotic_relationship,geo_loc_name,host,collected_by,host_disease,isolation_source,sample_name,isolation-source,sample_type,FDA CVM ID,culture_collection,assembly_method,collection_date,env_feature,synonym,Strain,SUBJECT_ID,Alias,type-material,misc_param,collection date,Isolation Site,Isolation source,country,note,GOLD Stamp ID,investigation_type,culture-collection,lat_lon,alt_elev,locus_tag_prefix,nat-host,assembly_method_version,env_material,model,sample_description,Sample Description,ArrayExpress-STRAIN_OR_LINE,ENA checklist,project_type,estimated_size,Temperature Optimum,isol_growth_condt,Motility,feature,project_name,assembly,num_replicons,isolate,depth,env_biome,altitude,ref_biomaterial,package,geographic location,ArrayExpress-StrainOrLine,ArrayExpress-Phenotype,ArrayExpress-SPECIES,INSDC center alias,geo-loc-name,environment,host_sex,elev,PublicAccession,completeness_estimated,geographic location (country and/or sea),latitude and longitude,specific_host,ArrayExpress-Species,ENA-FIRST-PUBLIC,INSDC center name,specific host,Body Sample Site,pH,biome,biomaterial_provider,isolate_name_alias,contamination_estimated,host scientific name,anonymized_name,ENA-LAST-UPDATE,INSDC first public,Cell Shape,BioSampleModel,environmental_sample,material,identified_by,host health state,INSDC last update,Diseases,strain_name_alias,genome_coverage,INSDC status,host taxid,isolation source,Gram Staining,Temperature Range,Sporulation,sequencing_meth,Historical Monobactam Produced,identification method,supplier_name,SRA accession,host_disease_outcome,Unique Monobactam Clusters Identified,ProjectAccession,Sample Name,Type Strain,Phenotypes,Gene Calling Method,temp,Title,investigation type,Host,rel_to_oxygen,host_age,Species,mapping_method,serovar,sop,Isolation Comments,finishing_strategy,Genus,mapping_method_version,environment (biome),attribute_package,metagenome_source,environment (feature),trophic_level,metagenomic,environment (material),Funding Program,quality_assessment_method,quality_assessment_method_version,geographic location (latitude),source_mat_id,host_tissue_sampled,geographic location (longitude),Host Name,subsrc_note,Host Health,value,plant-associated environmental package,project name,sequencing method,Body Sample SubSite
GCA_002150145.1,FPG48,,,Canada,Oncorhynchus mykiss,,,skin of fish with ulcerative dermatitis,,,ulcer,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002150205.1,FPG59,,,"Canada, Ontario",Oncorhynchus mykiss,,,skin of fish with ulcerative dermatitis,,,whole organism,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. Janet I. MacInnes,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002150215.1,FPG92,,,Canada,Oncorhynchus mykiss,,,skin of fish with ulcerative dermatitis,,,ulcer,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002150245.1,FPG1W08,,,Canada,Oncorhynchus mykiss,,,skin of fish with ulcerative dermatitis,,,ulcer,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002150295.1,FPG102,,,"Canada, Ontario",Oncorhynchus mykiss,,,kidney of fish with systemic disease,,,whole organism,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002208925.2,FDAARGOS_337,,,USA:DC,Homo sapiens,"""Childrens National Hospital""",Cystic fibrosis,throat,,,,,FDA:FDAARGOS_337,,12-Jan-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,FDAARGOS_337,,,,,,,,,,Phenotypic identification,,,,,,,,,,,,,,,5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002216065.1,T16E-39,,,"South Korea, Buyeo",Solanum lycopersicum,,,Root endosphere,,,cell culture,,,,2015-05-23,,,,,,,,,,,,,,,,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hang-Yeon weon,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217195.1,DSM 18293,,,Germany:Westhofer Bach,,,,spring water,,,,CVM 43416,,,2015-05-23,,,,,,type strain of Flavobacterium aquidurense,,,,,,,,,DSM:18293,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217205.1,ATCC 35035,,,Japan:Gunma,,,,Oncorynchus masou,,,,CVM AQ-18,,,1977,,,,,,type strain of Flavobacterium branchiophilum,,,,,,,,,ATCC:35035,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217235.1,ATCC 11947,,,United Kingdom:Kent,,,,deep well,,,,CVM 41392,,,1955,,,,,,type strain of Flavobacterium aquatile,,,,,,,,,ATCC:11947,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217245.1,ATCC 23463,,,"USA, Snake River",,,,Oncorynchus tshawytscha,,,,CVM 22644,,,1955,,,,,,type strain of Flavobacterium columnare,,,,,,,,,ATCC:23463,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217275.1,DSM 15937,,,Antarctica,,,,seawater,,,,CVM 43414,,,1955,,,,,,type strain of Flavobacterium frigidimaris,,,,,,,,,DSM:15937,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217285.1,DSM 18292,,,Germany:Westhofer Bach,,,,stream water,,,,CVM 43415,,,1955,,,,,,type strain of Flavobacterium hercynium,,,,,,,,,DSM:18292,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217315.1,ATCC 51468,,,Antarctica,,,,freshwater lake,,,,CVM 43443,,,1955,,,,,,type strain of Flavobacterium hibernum,,,,,,,,,ATCC:51468,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217335.1,ATCC 29551,,,USA:hatchery in Michigan,,,,salmon,,,,CVM 41393,,,1974,,,,,,type strain of Flavobacterium hydatis,,,,,,,,,ATCC:29551,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217355.1,CCUG 59446,,,Spain,,,,Oncorhynchus mykiss,,,,CVM 43445,,,2008,,,,,,type strain of Flavobacterium oncorhynchi,,,,,,,,,CCUG:59446,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217365.1,ATCC 19366,,,United Kingdom:Southern England,,,,soil,,,,CVM 43442,,,2008,,,,,,type strain of Flavobacterium pectinovorum,,,,,,,,,ATCC:19366,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217395.1,CCUG 60112,,,Spain:central part,,,,Oncorhynchus mykiss,,,,CVM AQ-21,,,2008,,,,,,type strain of Flavobacterium plurextorum,,,,,,,,,CCUG:60112,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217405.1,ATCC 49418,,,USA:WA,,,,Oncorynchus kisutch,,,,CVM AQ-16,,,2008,,,,,,type strain of Flavobacterium psychrophilum,,,,,,,,,ATCC:49418,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217435.1,DSM 21791,,,Germany:Westerhofer Bach,,,,hard water rivulet,,,,CVM 43417,,,2008,,,,,,type strain of Flavobacterium reichenbachii,,,,,,,,,DSM:21791,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217445.1,ATCC BAA-2541,,,USA:Rogers City,,,,Oncorynchus tshawytscha,,,,CVM 43441,,,2008,,,,,,type strain of Flavobacterium spartansii,,,,,,,,,ATCC:BAA-2541,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002217475.1,CCUG 60100,,,Spain:fish farm,,,,Oncorhynchus mykiss,,,,CVM AQ-20,,,2008,,,,,,type strain of Flavobacterium tructae,,,,,,,,,CCUG:60100,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002221975.1,ATCC 17061,,,United Kingdom:England,,,,soil,,,,CVM 41394,,,2008,,,,,,type strain of Flavobacterium johnsoniae,,,,,,,,,ATCC:17061,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002222045.1,CCUG 60099,,,Spain:fish farm,,,,Oncorhynchus mykiss,,,,CVM AQ-19,,,2009,,,,,,type strain of Flavobacterium piscis,,,,,,,,,CCUG:60099,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002222055.1,DSM 24704,,,Chile:Concepcion,,,,Salmo salar,,,,CVM 43413,,,2008,,,,,,type strain of Flavobacterium araucananum,,,,,,,,,DSM:24704,36.2934270 N 126.9317180 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002234495.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002277995.2,FDAARGOS_198,,,Sweden,Homo sapiens,ATCC < CCUG < PHL,Infection with Elizabethkingia meningoseptica,blood,,,,,ATCC:51720D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,FDAARGOS_198,,,,,,,,,,Phenotypic identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002285635.2,ATCC BAA-1782,,,USA:PA,,FDA,,ATCC,,,,,ATCC:BAA-1782,,2016,,,,,,type strain of Chryseobacterium piperi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFSAN055505,,,,,,,,,,,,,4EL19-4EL24,,,,,,,Pathogen.env,,,,,,,,,,,,,,,,,,,,,,PRJNA342323,,,,,,,,,,,piperi,,,,,,Chryseobacterium,,,environmental/food/other,,,,,,,,,,,,,,,,,,,,
GCA_002296885.1,,,,NULL,,,,,,Activated sludge from a full-scale wastewater treatment plant,metagenomic assembly,,,CLC de novo assembler,2016,,,,,,,,,,,,,,,,,,,,4.4.1,,,,,,,,,,,,,,,,UBA807,,,,,,,,,,,,,,,,80.51%,,,,,,,,,,,,,2.41%,,,,,,Microbe,true,,,,,,,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,BWA (BWA-MEM),,,,,,0.7.12-r1039,,,metagenome,,,true,,,CheckM,1.0.6,,,,,,Genome binned from sequencing reads available in SRX201543 metagenome,,"This BioSample is a metagenomic assembly obtained from the metagenome reads, SRR609293.",,,,
GCA_002302395.1,KC1668,,,"USA, Massachusetts",,,,,,,cell culture,,,,20-Feb-1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302415.1,H1496,,,"USA, Ohio",Homo sapiens,,,sputum,,,cell culture,,,,18-Apr-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302445.1,H5594,,,"USA, Oklahoma",Homo sapiens,,,blood,,,cell culture,,,,18-Apr-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302475.1,G7591,,,"USA, California",Homo sapiens,,,unknown,,,cell culture,,,,15-Jun-1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302495.1,D1176,,,Israel,Homo sapiens,,,blood,,,cell culture,,,,04-Oct-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302515.1,H4358,,,"USA, Oregon",Homo sapiens,,,blood,,,cell culture,,,,12-Jun-2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302535.1,H2931,,,"USA, Montana",Homo sapiens,,,blood,,,cell culture,,,,11-Feb-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302565.1,7120,,,"USA, California",Homo sapiens,,,blood,,,cell culture,,,,11-Feb-2004,,,,,,type strain of Capnocytophaga canimorsus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302595.1,H4486,,,"USA, California",Homo sapiens,,,blood,,,cell culture,,,,16-Oct-2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302615.1,H6253,,,"USA, Hawaii",Homo sapiens,,,Bronchial aspirate,,,cell culture,,,,13-Dec-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302635.1,H2177,,,"USA, Rhode Island",Homo sapiens,,,Peritoneal fluid,,,cell culture,,,,13-Dec-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002302655.1,H3936,,,"USA, Oklahoma",Homo sapiens,,,blood,,,cell culture,,,,13-Dec-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002303885.1,ACN2,,,"Germany, Experimental Botanical Garden Goettingen",,,,compost soil,,,whole organism,,,,2016-01-27,garden,,,,,,,,,,,,,,,51.556278 N 9.954500000000053 E,,,,,soil,,,,,,,,,,,,,,,,0.5 m,compost soil,180 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,6 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002304005.1,ACN6,,,"Germany, Experimental Botanical Garden Goettingen",,,,compost soil,,,whole organism,,,,2016-01-27,garden,,,,,,,,,,,,,,,51.556278 N 9.954500000000053 E,,,,,soil,,,,,,,,,,,,,,,,0.5 m,compost soil,180 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,6 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002312885.1,H6490,,,"USA, Indiana",Homo sapiens,,,Abscess,,,cell culture,,,,08-Aug-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002338705.1,,,,NULL,,,,,,Activated sludge form a lab-scale nitrification reactor,metagenomic assembly,,,CLC de novo assembler,08-Aug-2013,,,,,,,,,,,,,,,,,,,,4.4.1,,,,,,,,,,,,,,,,UBA1846,,,,,,,,,,,,,,,,98.39%,,,,,,,,,,,,,0.30%,,,,,,Microbe,true,,,,,,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,BWA (BWA-MEM),,,,,,0.7.12-r1039,,,metagenome,,,true,,,CheckM,1.0.6,,,,,,Genome binned from sequencing reads available in SRX201528 metagenome,,"This BioSample is a metagenomic assembly obtained from the metagenome reads, SRR609198.",,,,
GCA_002352205.1,,,,"Australia, Brisbane",,,,,,activated sludge,metagenomic assembly,,,CLC de novo assembler,08-Aug-2013,,,,,,,,,,,,,,,,,,,,4.4.1,,,,,,,,,,,,,,,,UBA2787,,,,,,,,,,,,,,,,99.65%,,,,,,,,,,,,,0.16%,,,,,,Microbe,true,,,,,,,39.39,,,,,,,,,,,,,,,,,,,,,,,,,,BWA (BWA-MEM),,,,,,0.7.12-r1039,,,EBPR bioreactor metagenome,,,true,,,CheckM,1.0.6,,,,,,Genome binned from sequencing reads available in SRX393041 metagenome,,"This BioSample is a metagenomic assembly obtained from the EBPR bioreactor metagenome reads, SRR1051195.",,,,
GCA_002454195.1,,,,NULL,,,,,,freshwater,metagenomic assembly,,,CLC de novo assembler,08-Aug-2013,,,,,,,,,,,,,,,,,,,,4.4.1,,,,,,,,,,,,,,,,UBA6721,,,,,,,,,,,,,,,,77.87%,,,,,,,,,,,,,0.62%,,,,,,Microbe,true,,,,,,,41.86,,,,,,,,,,,,,,,,,,,,,,,,,,BWA (BWA-MEM),,,,,,0.7.12-r1039,,,metagenome,,,true,,,CheckM,1.0.6,,,,,,Genome binned from sequencing reads available in SRX481087 metagenome,,"This BioSample is a metagenomic assembly obtained from the metagenome reads, SRR1182698.",,,,
GCA_002591275.1,FDAARGOS_379,,,USA:DC,Homo sapiens,"""Childrens National Hospital""",Trachiits/Colonization,endotracheal aspirate,,,,,FDA:FDAARGOS_379,,27-Apr-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBA6721,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,FDAARGOS_379,,,,,,,,,,Phenotypic characterization,,,,,,,,,,,,,,,1Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002754195.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002754245.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002754275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002754315.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002797535.1,DSM 27617,,,,,,,,,,,,,,,,,,,,type strain of Chryseobacterium geocarposphaerae,,,,,,,,,DSM:27617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002797785.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002797935.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002810405.1,S27,,,"Austria, Vorarlberg",,,,surface of Austrian artisanal cheeses,,,culture,,,,March-2014,,,,,,,,,,,,,,,,47.20 N 9.69 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002813125.1,ES.050,,,"Austria, Vorarlberg",,,,,,,,,,,March-2014,,,,,,,,,,,,,,,,36.8100 N 121.7900 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002813135.1,Mar_2010_11,,,"Austria, Vorarlberg",,,,,,,,,,,March-2014,,,,,,,,,,,,,,,,36.8100 N 121.7900 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002813285.1,Mar_2009_75,,,"Austria, Vorarlberg",,,,,,,,,,,March-2014,,,,,,,,,,,,,,,,36.8100 N 121.7900 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
